country_text_id,civil_war_prob
AFG,0.9245535
AGO,1.5160896e-05
ALB,1.0926759e-17
ARE,8.980476e-23
ARG,1.1269701e-24
ARM,3.660109e-15
AUS,1.0349743e-18
AUT,7.963003e-30
AZE,0.0063028447
BDI,0.051940575
BEL,0.0
BEN,4.1841025e-25
BFA,6.5430585e-11
BGD,0.36741126
BGR,8.511519e-11
BHR,0.0011170284
BIH,4.0196104e-09
BLR,5.795875e-05
BOL,1.06671365e-08
BRA,6.7933427e-15
BRB,2.375242e-33
BTN,3.0579157e-14
BWA,7.265436e-36
CAF,0.8082543
CAN,2.4426827e-15
CHE,3.260037e-25
CHL,6.7377157e-18
CHN,8.41939e-07
CIV,1.1327114e-06
CMR,1.9118153e-07
COD,0.03182209
COG,5.6858928e-05
COL,0.33920974
COM,0.007416821
CPV,3.1172975e-23
CRI,6.8380747e-34
CUB,2.4504118e-10
CYP,1.7034062e-32
CZE,3.4815098e-32
DEU,3.9119324e-25
DJI,7.111455e-05
DNK,2.7504983e-33
DOM,5.3028946e-19
DZA,0.0033651935
ECU,8.5461814e-08
EGY,0.002547582
ERI,0.0009994289
ESP,6.965863e-29
EST,0.0
ETH,0.7358516
FIN,2.8498007e-37
FJI,5.3366387e-09
FRA,1.5358423e-19
GAB,9.174617e-18
GBR,3.699843e-19
GEO,4.00049e-16
GHA,4.5285274e-19
GIN,0.7680404
GMB,2.8329823e-27
GNB,4.518973e-09
GNQ,0.009592146
GRC,4.663891e-19
GTM,0.00030301817
GUY,6.5756754e-22
HKG,3.425352e-06
HND,1.4147947e-12
HRV,2.0951775e-17
HTI,0.24233313
HUN,6.205093e-12
IDN,9.232712e-07
IND,0.85803
IRL,9.427198e-30
IRN,0.01924308
IRQ,0.018502338
ISL,0.0
ISR,1.298439e-13
ITA,7.29301e-21
JAM,6.1231277e-22
JOR,6.336425e-20
JPN,4.790727e-35
KAZ,1.4697127e-05
KEN,0.00028373263
KGZ,0.0022527175
KHM,0.002401426
KOR,1.7831121e-25
KWT,6.5860335e-25
LAO,2.5511702e-11
LBN,0.007708654
LBR,5.911432e-11
LBY,0.71181947
LKA,3.9673836e-08
LSO,4.3947227e-14
LTU,4.359877e-20
LUX,0.0
LVA,1.0050325e-23
MAR,5.8040504e-12
MDA,1.2955859e-18
MDG,3.6086698e-10
MDV,7.0824596e-10
MEX,0.058853153
MKD,1.0182108e-12
MLI,0.04166381
MLT,9.281881e-25
MMR,0.9115357
MNE,1.7574764e-19
MNG,3.731135e-13
MOZ,0.0012192775
MRT,1.8793085e-10
MUS,1.8733131e-11
MWI,1.8937183e-11
MYS,6.778559e-08
NAM,2.7472245e-12
NER,3.2375463e-12
NGA,2.1723092e-05
NIC,0.74004406
NLD,3.5540644e-25
NOR,2.6737919e-30
NPL,2.3161122e-06
NZL,2.2090665e-19
OMN,1.6321118e-32
PAK,0.39508593
PAN,7.257245e-19
PER,0.010432382
PHL,0.4427137
PNG,1.9644583e-06
POL,8.668837e-19
PRK,1.0006617e-12
PRT,5.5984123e-33
PRY,3.6366995e-07
PSE,0.09274034
PSG,0.9092827
QAT,1.1897124e-34
ROU,6.4797907e-12
RUS,0.3932182
RWA,0.0129504455
SAU,7.784574e-28
SDN,0.9042704
SEN,2.904276e-13
SGP,7.148236e-30
SLB,2.7523365e-17
SLE,5.404672e-22
SLV,0.03664314
SML,0.0013864038
SOM,6.3209e-05
SRB,1.5096519e-14
SSD,0.7588462
STP,2.8738144e-17
SUR,2.9089554e-24
SVK,4.2789293e-19
SVN,1.8641307e-23
SWE,1.898869e-37
SWZ,2.5151917e-07
SYC,6.894283e-34
SYR,0.64032394
TCD,0.021961499
TGO,1.07185205e-10
THA,0.013072834
TJK,0.0005245708
TKM,4.151403e-08
TLS,6.3503792e-15
TTO,2.0001407e-24
TUN,1.3792943e-10
TUR,0.043151762
TWN,5.9841366e-15
TZA,7.872652e-18
UGA,0.4608287
UKR,0.00654832
URY,2.0305472e-30
USA,1.0527329e-19
UZB,5.5634507e-07
VEN,0.32669663
VNM,1.197138e-11
VUT,3.4031264e-20
XKX,4.453336e-06
YEM,0.7306911
ZAF,4.749244e-11
ZMB,9.909757e-19
ZWE,0.006296415
ZZB,0.0012063547
